name,ra,ra_hours,dec,min_mag,max_mag,mag_range,variability_type,period_days,variable_star_number,class
V750 Aur,89.39687,5.959791333,51.63806,13.63,13.53,0.1,DSCT,0.062268,80750,STAR
PP Com,202.75375,13.51691667,26.39022,7.37,7.38,0.01,DSCTC,0.06230061,250314,STAR F1
V775 Tau,65.51467,4.367644667,14.07719,5.71,5.72,0.01,DSCTC,0.0625,780775,STAR A3
V1876 Aql,300.06121,20.00408067,5.28961,17.19,16.87,0.32,DSCT,0.062614,51876,STAR
LR Psc,16.57646,1.105097333,8.77042,11.53,11.22,0.31,DSCT,0.0627838,660266,STAR
V2801 Oph,276.13571,18.40904733,7.51267,11.99,12,0.01,DSCTC:,0.06285,592801,STAR
V360 Lyn,114.55042,7.636694667,38.89928,22.9,22.4,0.5,SXPHE,0.0628808,510360,STAR
V2988 Cyg,307.44567,20.496378,49.51519,11.35,11.34,0.01,DSCTC,0.06289,312988,STAR
CL Dra,239.44767,15.963178,54.74975,4.93,4.95,0.02,DSCTC,0.063,340112,STAR F0IV
V340 And,353.65642,23.57709467,40.23644,5.66,5.69,0.03,DSCTC,0.063,10340,STAR A1V
V496 UMa,200.267,13.35113333,56.16619,21,16.2,4.8,AM,0.0632352,830496,CV AM HER (POLAR)
V390 Cam,82.34767,5.489844667,78.9615,13.85,13.5,0.35,DSCT,0.0632385,110390,STAR
V416 UMa,202.71158,13.51410533,54.12933,14.57,13.98,0.59,DSCT,0.0633078,830416,STAR A7
V411 Dra,281.05012,18.73667467,57.21147,8.69,8.7,0.01,DSCTC,0.063319,340411,STAR A2
alf Aql,297.69583,19.84638867,8.86833,0.766,0.77,0.004,DSCTC,0.06342,59001,STAR
V851 Lac,343.41854,22.89456933,49.79306,13.01,12.98,0.03,DSCTC,0.0635,450851,STAR
AL CVn,187.43304,12.495536,32.09686,18.2,17.6,0.6,SXPHE:,0.063503,130065,STAR
V350 Dra,244.40267,16.29351133,56.23886,10.03,10.08,0.05,DSCTC,0.063656,340350,STAR A0
V1105 Cas,20.59587,1.373058,58.40233,14.83,14.76,0.07,DSCTC,0.063837,181105,STAR
V2500 Cyg,291.97133,19.46475533,33.37397,7.62,7.65,0.03,DSCTC,0.0640168,312500,STAR F1III
V474 UMa,163.76042,10.91736133,61.70478,13.86,13.43,0.43,DSCT,0.06404409,830474,STAR
BQ Cnc,130.11146,8.674097333,20.182,8.16,8.19,0.03,DSCTC,0.06412,120094,STAR F2V
V3441 Oph,272.32775,18.15518333,2.58169,14.61,14.33,0.28,DSCT,0.0645378,593441,STAR
